电影名称,电影类型,出品国家,上映年份,上映月份,上映日期,电影时长,电影评分,打分人数,想看人数,累计票房,首日票房,首周票房
北京遇上西雅图之不二情书,"剧情,爱情",中国大陆,2016,4,29,129,8.5,590000,307000,78500,11000,35500
蜘蛛侠：英雄归来,"动作,冒险,科幻",美国,2017,9,8,138,8.2,580000,483000,77400,13400,46200
叶问3,"动作,历史,传记",中国大陆,2016,3,4,110,8.4,460000,236000,76900,14000,44200
人潮汹涌,"剧情,喜剧,爱情",中国大陆,2021,2,12,119,9,370000,247000,76200,4321,7854
霍比特人3：五军之战,"动作,冒险,奇幻","美国,新西兰",2015,1,23,145,9.1,650000,92000,76100,9009,31200
大闹天竺,"喜剧,动作,冒险",中国大陆,2017,1,28,100,7.4,750000,242000,75600,18700,31100
钢铁侠3,"动作,科幻,冒险","美国,中国大陆",2013,5,1,134,9,10000,20000,75400,10900,40400
无问西东,"爱情,战争",中国大陆,2018,1,12,138,8.6,540000,57000,75400,3552,13799
奇异博士,"动作,冒险,奇幻",美国,2016,11,4,115,8.9,570000,205000,75000,8150,29900
神秘巨星,"剧情,喜剧,音乐",印度,2018,1,19,150,9.3,660000,47000,74700,4366,17500
雷神3：诸神黄昏,"动作,冒险,奇幻",美国,2017,11,3,130,8.9,510000,218000,74300,10500,36200
天将雄师,"动作,战争,古装","中国大陆,中国香港",2015,2,19,125,8.3,940000,70000,74200,12000,34600
猩球崛起3：终极之战,"剧情,动作,科幻",美国,2017,9,15,142,8.2,530000,414000,74000,12300,40300
金刚狼3：殊死一战,"动作,冒险,科幻",美国,2017,3,3,137,8.6,490000,86000,73000,10300,34100
西游记女儿国,"喜剧,爱情,动作",中国大陆,2018,2,16,116,7.9,610000,370000,72700,16400,33100
X战警：逆转未来,"剧情,动作,科幻,冒险","美国,英国",2014,5,23,131,9,100000,38000,72200,6608,24500
终结者：创世纪,"动作,冒险,科幻",美国,2015,8,23,127,8.9,700000,381000,72200,15300,16700
致我们终将逝去的青春,"爱情,青春",中国大陆,2013,4,26,132,8.3,10000,21000,71900,4778,14500
美国队长2,"动作,科幻,冒险",美国,2014,4,4,136,9.2,90000,22000,71800,5956,24400
熊出没·原始时代,"喜剧,动画,冒险",中国大陆,2019,2,5,92,9.1,410000,92000,71700,7407,42400
私人订制,喜剧,中国大陆,2013,12,19,118,7.4,30000,17000,71300,7149,32400
神探大战,"犯罪,动作,悬疑","中国大陆,中国香港",2022,7,8,101,9,250000,152000,71200,3538,15100
猩球崛起2：黎明之战,"动作,剧情,科幻",美国,2014,8,29,130,9,210000,78000,70700,8897,28800
使徒行者2：谍影行动,"悬疑,动作,犯罪",中国大陆,2019,8,7,98,9,460000,368000,70200,17400,43200
画皮2,爱情,"中国大陆,中国香港",2012,6,28,131,7.4,2349,168,70200,6715,28300
保你平安,"剧情,喜剧",中国大陆,2023,3,10,112,9.3,170000,268000,70000,2427,11600
狼图腾,"剧情,冒险",中国大陆,2015,2,19,116,8.3,480000,49000,70000,3330,14800
